DATE_TIME,demand_kw,load_adj_kw,discharge_kw,soc_kwh
2020-05-17 03:30:00,3.788583605329748,3.788583605329748,0.0,27.828114399201358
2020-05-17 03:45:00,3.78515276908608,3.78515276908608,0.0,27.828114399201358
2020-05-17 04:00:00,3.781646139121452,3.781646139121452,0.0,27.828114399201358
2020-05-17 04:15:00,3.7780640414858313,3.7780640414858313,0.0,27.828114399201358
2020-05-17 04:30:00,3.774406809246244,3.774406809246244,0.0,27.828114399201358
2020-05-17 04:45:00,3.770674782455808,3.770674782455808,0.0,27.828114399201358
2020-05-17 05:00:00,3.76686830812211,3.76686830812211,0.0,27.828114399201358
2020-05-17 05:15:00,3.7629877401749487,3.7629877401749487,0.0,27.828114399201358
2020-05-17 05:30:00,3.7590334394334164,3.7590334394334164,0.0,27.828114399201358
2020-05-17 05:45:00,3.7550057735723588,3.7550057735723588,0.0,27.828114399201358
2020-05-17 06:00:00,3.7509051170881818,3.7509051170881818,0.0,27.828114399201358
2020-05-17 06:15:00,3.746731851264031,3.746731851264031,0.0,27.828114399201358
2020-05-17 06:30:00,3.742486364134344,3.742486364134344,0.0,27.828114399201358
2020-05-17 06:45:00,3.7381690504487675,3.7381690504487675,0.0,27.828114399201358
2020-05-17 07:00:00,3.7337803116354507,3.7337803116354507,0.0,27.828114399201358
2020-05-17 07:15:00,3.7293205557637243,3.7293205557637243,0.0,27.828114399201358
2020-05-17 07:30:00,3.7247901975061586,3.7247901975061586,0.0,27.828114399201358
2020-05-17 07:45:00,3.7201896581000002,3.7201896581000002,0.0,27.828114399201358
2020-05-17 08:00:00,3.715519365308011,3.715519365308011,0.0,27.828114399201358
2020-05-17 08:15:00,3.710779753378694,3.710779753378694,0.0,27.828114399201358
2020-05-17 08:30:00,3.7059712630059125,3.7059712630059125,0.0,27.828114399201358
2020-05-17 08:45:00,3.701094341287919,3.701094341287919,0.0,27.828114399201358
2020-05-17 09:00:00,3.6961494416857796,3.6961494416857796,0.0,27.828114399201358
2020-05-17 09:15:00,3.6911370239812107,3.6911370239812107,0.0,27.828114399201358
2020-05-17 09:30:00,3.6860575542338334,3.6860575542338334,0.0,27.828114399201358
2020-05-17 09:45:00,3.680911504737831,3.680911504737831,0.0,27.828114399201358
2020-05-17 10:00:00,3.675699353978041,3.675699353978041,0.0,27.828114399201358
2020-05-17 10:15:00,3.670421586585461,3.670421586585461,0.0,27.828114399201358
2020-05-17 10:30:00,3.6650786932921897,3.6650786932921897,0.0,27.828114399201358
2020-05-17 10:45:00,3.6596711708857983,3.6596711708857983,0.0,27.828114399201358
2020-05-17 11:00:00,3.6541995221631347,3.6541995221631347,0.0,27.828114399201358
2020-05-17 11:15:00,3.6486642558835793,3.6486642558835793,0.0,27.828114399201358
2020-05-17 11:30:00,3.6430658867217343,3.6430658867217343,0.0,27.828114399201358
